location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Schildergasse (West), Köln;2018-05-10 05:00:00 +0200;Thursday;42;15;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-10 06:00:00 +0200;Thursday;46;14;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-10 07:00:00 +0200;Thursday;77;14;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-10 08:00:00 +0200;Thursday;184;13;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-10 09:00:00 +0200;Thursday;310;14;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-10 10:00:00 +0200;Thursday;542;15;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-10 11:00:00 +0200;Thursday;935;15;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-10 12:00:00 +0200;Thursday;1323;15;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-10 13:00:00 +0200;Thursday;1840;14;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-10 14:00:00 +0200;Thursday;1598;14;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-10 15:00:00 +0200;Thursday;2072;15;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-10 16:00:00 +0200;Thursday;2226;15;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-10 17:00:00 +0200;Thursday;2197;17;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-10 18:00:00 +0200;Thursday;1764;17;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-10 19:00:00 +0200;Thursday;1257;16;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-10 20:00:00 +0200;Thursday;1120;16;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-10 21:00:00 +0200;Thursday;938;15;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-10 22:00:00 +0200;Thursday;472;14;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-10 23:00:00 +0200;Thursday;283;13;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-11 00:00:00 +0200;Friday;164;12;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-11 01:00:00 +0200;Friday;69;11;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-11 02:00:00 +0200;Friday;44;11;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-11 03:00:00 +0200;Friday;32;10;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-11 04:00:00 +0200;Friday;35;9;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-11 05:00:00 +0200;Friday;72;8;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-11 06:00:00 +0200;Friday;193;8;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-11 07:00:00 +0200;Friday;409;8;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-11 08:00:00 +0200;Friday;849;9;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-11 09:00:00 +0200;Friday;2353;11;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-11 10:00:00 +0200;Friday;5570;14;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-11 11:00:00 +0200;Friday;8863;15;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-11 12:00:00 +0200;Friday;11241;17;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-11 13:00:00 +0200;Friday;12886;18;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-11 14:00:00 +0200;Friday;13086;20;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-11 15:00:00 +0200;Friday;13764;21;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-11 16:00:00 +0200;Friday;13161;21;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-11 17:00:00 +0200;Friday;12219;21;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-11 18:00:00 +0200;Friday;10722;21;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-11 19:00:00 +0200;Friday;8185;21;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-11 20:00:00 +0200;Friday;3994;20;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-11 21:00:00 +0200;Friday;1662;19;clear-day;
Schildergasse (West), Köln;2018-05-11 22:00:00 +0200;Friday;1025;17;clear-night;
Schildergasse (West), Köln;2018-05-11 23:00:00 +0200;Friday;609;16;clear-night;
Schildergasse (West), Köln;2018-05-12 00:00:00 +0200;Saturday;334;15;clear-night;
Schildergasse (West), Köln;2018-05-12 01:00:00 +0200;Saturday;170;14;clear-night;
Schildergasse (West), Köln;2018-05-12 02:00:00 +0200;Saturday;146;14;clear-night;
Schildergasse (West), Köln;2018-05-12 03:00:00 +0200;Saturday;71;13;clear-night;
Schildergasse (West), Köln;2018-05-12 04:00:00 +0200;Saturday;96;12;clear-night;
Schildergasse (West), Köln;2018-05-12 05:00:00 +0200;Saturday;58;11;clear-night;
Schildergasse (West), Köln;2018-05-12 06:00:00 +0200;Saturday;2231;11;clear-day;
Schildergasse (West), Köln;2018-05-12 07:00:00 +0200;Saturday;4987;11;clear-day;
Schildergasse (West), Köln;2018-05-12 08:00:00 +0200;Saturday;375;13;clear-day;
Schildergasse (West), Köln;2018-05-12 09:00:00 +0200;Saturday;1668;16;clear-day;
